,국가(대륙)별,상품군별,판매유형별,시점,데이터
139,미국,의류 및 패션 관련상품,면세점 이외,2018.4/4,13540
140,미국,의류 및 패션 관련상품,면세점 이외,2019.1/4,12214
141,미국,의류 및 패션 관련상품,면세점 이외,2019.2/4,13568
142,미국,의류 및 패션 관련상품,면세점 이외,2019.3/4,13273
143,미국,의류 및 패션 관련상품,면세점 이외,2019.4/4,16070
144,미국,의류 및 패션 관련상품,면세점 이외,2020.1/4,12743
145,미국,의류 및 패션 관련상품,면세점 이외,2020.2/4,23154
146,미국,의류 및 패션 관련상품,면세점 이외,2020.3/4,21980
147,미국,의류 및 패션 관련상품,면세점 이외,2020.4/4,24277
148,미국,의류 및 패션 관련상품,면세점 이외,2021.1/4,21303
149,미국,의류 및 패션 관련상품,면세점 이외,2021.2/4,24804
150,미국,의류 및 패션 관련상품,면세점 이외,2021.3/4,24847
151,미국,의류 및 패션 관련상품,면세점 이외,2021.4/4,29708
152,미국,의류 및 패션 관련상품,면세점 이외,2022.1/4,21265
153,미국,의류 및 패션 관련상품,면세점 이외,2022.2/4 p),24301
154,미국,스포츠·레저용품,면세점 이외,2017.1/4,1475
155,미국,스포츠·레저용품,면세점 이외,2017.2/4,1021
156,미국,스포츠·레저용품,면세점 이외,2017.3/4,874
157,미국,스포츠·레저용품,면세점 이외,2017.4/4,1121
158,미국,스포츠·레저용품,면세점 이외,2018.1/4,1181
159,미국,스포츠·레저용품,면세점 이외,2018.2/4,1439
160,미국,스포츠·레저용품,면세점 이외,2018.3/4,1199
161,미국,스포츠·레저용품,면세점 이외,2018.4/4,1069
162,미국,스포츠·레저용품,면세점 이외,2019.1/4,1148
163,미국,스포츠·레저용품,면세점 이외,2019.2/4,1602
164,미국,스포츠·레저용품,면세점 이외,2019.3/4,3150
165,미국,스포츠·레저용품,면세점 이외,2019.4/4,864
166,미국,스포츠·레저용품,면세점 이외,2020.1/4,953
167,미국,스포츠·레저용품,면세점 이외,2020.2/4,1641
168,미국,스포츠·레저용품,면세점 이외,2020.3/4,1791
169,미국,스포츠·레저용품,면세점 이외,2020.4/4,1477
170,미국,스포츠·레저용품,면세점 이외,2021.1/4,1004
171,미국,스포츠·레저용품,면세점 이외,2021.2/4,1289
172,미국,스포츠·레저용품,면세점 이외,2021.3/4,1819
173,미국,스포츠·레저용품,면세점 이외,2021.4/4,810
174,미국,스포츠·레저용품,면세점 이외,2022.1/4,304
175,미국,스포츠·레저용품,면세점 이외,2022.2/4 p),284
176,미국,화장품,면세점 이외,2017.1/4,7539
177,미국,화장품,면세점 이외,2017.2/4,6506
178,미국,화장품,면세점 이외,2017.3/4,6795
179,미국,화장품,면세점 이외,2017.4/4,10397
180,미국,화장품,면세점 이외,2018.1/4,8982
181,미국,화장품,면세점 이외,2018.2/4,7908
182,미국,화장품,면세점 이외,2018.3/4,7689
183,미국,화장품,면세점 이외,2018.4/4,13958
184,미국,화장품,면세점 이외,2019.1/4,8451
185,미국,화장품,면세점 이외,2019.2/4,8663
186,미국,화장품,면세점 이외,2019.3/4,12449
187,미국,화장품,면세점 이외,2019.4/4,12223
188,미국,화장품,면세점 이외,2020.1/4,11846
189,미국,화장품,면세점 이외,2020.2/4,11482
190,미국,화장품,면세점 이외,2020.3/4,12042
191,미국,화장품,면세점 이외,2020.4/4,14076
192,미국,화장품,면세점 이외,2021.1/4,11831
193,미국,화장품,면세점 이외,2021.2/4,8797
194,미국,화장품,면세점 이외,2021.3/4,8125
195,미국,화장품,면세점 이외,2021.4/4,9912
196,미국,화장품,면세점 이외,2022.1/4,6600
197,미국,화장품,면세점 이외,2022.2/4 p),5438
198,미국,아동·유아용품,면세점 이외,2017.1/4,684
199,미국,아동·유아용품,면세점 이외,2017.2/4,592
200,미국,아동·유아용품,면세점 이외,2017.3/4,591
201,미국,아동·유아용품,면세점 이외,2017.4/4,722
202,미국,아동·유아용품,면세점 이외,2018.1/4,765
203,미국,아동·유아용품,면세점 이외,2018.2/4,793
204,미국,아동·유아용품,면세점 이외,2018.3/4,728
205,미국,아동·유아용품,면세점 이외,2018.4/4,1056
